Record Id,Town/District Name,Phone,Email,Website,GL Account,Category,Town/District Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Street,City,Province,Postal Code,Country,Description,Layout.id,Tag,Town/District Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Sub-District Id,District Id,Typ,GPS Latitude,Address,GPS Longitude,Sub-District (if not one) Id,Types,Locked
zcrm_361303000001611318,Rajamangala Lanna University of Technology,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-01 08:01:18,2022-06-01 08:01:18,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000001611404,Chiang Mai Vocational College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-01 08:09:11,2022-06-01 08:09:11,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000001611440,Mae Hong Son Vocational College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-01 08:13:18,2022-06-01 08:13:18,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000001611522,Phayao College of Agriculture and Technology,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-01 08:21:19,2022-06-01 08:21:19,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000001611586,Sob Moei,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-01 08:27:30,2022-06-01 08:27:30,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,District,false
zcrm_361303000001699023,Mae Sot Technical College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-06-20 07:14:32,2022-06-20 07:14:32,,,,,,,,,,,,,,,,,,,,,,,School,false
zcrm_361303000001881109,Anu Ban Mae La Noi School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881110,Ba Hua Mae Surin,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881111,Ban Chan,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,District,false
zcrm_361303000001881112,Ban Fak Thong,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881113,Ban Goong Song Nua,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881114,Ban Goong Sum Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881115,Ban Hak Mai Tai School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881116,Ban Hua La,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881117,Ban Huang Muang School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881118,Ban Huay Dua School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881119,Ban Huay Hia Klang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881120,Ban Huay Kai Pa,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881121,Ban Huay Kung,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881122,Ban Huay Ma Kok,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881123,Ban Huay Mak Noon,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881124,Ban Huay Mueang School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881125,Ban Huay Ngao,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881126,Ban Huay Pla Kang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881127,Ban Khun Mae La,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881128,Ban Khun Mae Ruam,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881129,Ban Khun Wong Nua School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881130,Ban Khun Wong Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881131,Ban Mae Hong,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881132,Ban Mae Hu,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881133,Ban Mae Jae,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881134,Ban Mae Jang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881135,Ban Mae Jo,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881136,Ban Mae Keed,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881137,Ban Mae Khae Noi,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881138,Ban Mae Kwang Nua,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881139,Ban Mae La Ka,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881140,Ban Mae La Luang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881141,Ban Mae Lamong Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881142,Ban Mae Ler,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881143,Ban Mae Lid- Luang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881144,Ban Mae Lid School,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881145,Ban Mae Na Chon,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000001881146,Ban Mae Na Jang Nua,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2022-07-25 11:02:46,2022-07-25 11:02:46,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
