"id","village_name","created_time","households","road_conditions","total_population","gps_latitude","gps_longitude","population_without_enough_rice","children_aged_0_18","distance_to_town_km","adult_males","adult_females","distance_to_hospital_km","nearest_health_centre","distance_to_pratom_km","annual_typhoid_cases","distance_to_health_centre_km","distance_to_mathayom_km","common_diseases","hosted_kht_projects","record_id","village_name_th","nearby_node","geom"
"fb7fc764-0527-4d0e-b0df-980f0d1dd2b0","Ban Kre Bor","7/25/2022 11:19",47,"-",199,"17.88299","97.79637",90,75,55,64,60,30,"Mae Sam Laeb",NULL,4,35,30,"Flu","WASH","zcrm_361303000001881694","บ้านเกระบอร์",3899,"0101000020E6100000FE60E0B9F7725840EEB1F4A10BE23140"
"298378ac-fe7f-4e37-b784-97b9c5882df3","Ban La Oop","7/25/2022 11:19",163,"-",962,"18.34237","98.0578",30,432,25,265,265,25,"In the village",NULL,NULL,NULL,NULL,NULL,"WASH","zcrm_361303000001881695","บ้านละอูบ",1220,"0101000020E61000005D6DC5FEB2835840AB21718FA5573240"
"58605ab7-103e-4c12-8315-6b87c71ee2e1","Ban Mae Au","7/25/2022 11:19",36,"-",204,"18.77433","98.03734",25,50,25,82,72,25,"Ban Hua Pon",NULL,1,4,NULL,NULL,"WASH","zcrm_361303000001881699","บ้านแม่ออ",5702,"0101000020E61000004AB54FC763825840CA4FAA7D3AC63240"
"54ef5a9d-ef3a-46a1-a258-4c8897e88cbc","Ban Mae Harn","7/25/2022 11:19",277,"-",1053,"18.21005","97.89129",20,453,13,303,297,13,"Ban Sop Harn",NULL,5,6,NULL,"Flu. Ulcer","WASH","zcrm_361303000001881702","บ้านแม่หาร",2828,"0101000020E61000001E5036E50A795840598638D6C5353240"
"75ae29d1-df43-4653-98ef-98509ddc810f","Ban Mae Hu","7/25/2022 11:19",49,"-",251,"18.43715","97.99202",40,68,35,11,140,35,"Ban Mae Hu",NULL,7,NULL,35,"Flu","WASH","zcrm_361303000001881706","บ้านแม่หู",1254,"0101000020E6100000963E74417D7F58404772F90FE96F3240"
"a866625a-b3d7-4f32-91cb-9656c0497389","Ban Mae Ja Noi","7/25/2022 11:19",15,"-",110,"19.27481","98.13777",90,41,18,36,33,18,"Ban Pha Bong",18,5,8,NULL,NULL,"WASH","zcrm_361303000001881707","บ้านแม่จาน้อย",2449,"0101000020E6100000AD174339D18858401F9DBAF259463340"
"8c8388f2-33fe-4f11-b7a8-95b5e15eb4ae","Ban Mae Jae","7/25/2022 11:19",59,"-",382,"18.74397","98.02142",50,105,40,138,139,40,"In the village",NULL,6,NULL,40,"Flu","Irrigation;WASH","zcrm_361303000001881709","บ้านแม่แจ้",3671,"0101000020E6100000BEDEFDF15E815840833463D174BE3240"
"bb93e608-e1fe-4be8-88d9-42b8f8f1567c","Ban Mae Jang Bon","7/25/2022 11:19",21,"Average (some paved road. some potholes)",107,"18.08325","98.05088",50,29,36,45,33,36,"Ban Mae Ho",1,8,17,17,"Flu","WASH","zcrm_361303000001881710","บ้านแม่จางบน",997,"0101000020E61000005001309E418358405A643BDF4F153240"
"3160fbb7-72ff-45b7-a26f-080c4a698e6f","Ban Mae Jaw Nua","7/25/2022 11:19",16,"-",89,"18.64099","98.02831",20,34,54,26,29,54,"Ban Mae To",6,2,6,NULL,"Flu. Ulcer and skin infection","WASH","zcrm_361303000001881713","บ้านแม่จอเหนือ",3857,"0101000020E61000009609BFD4CF8158402310AFEB17A43240"
"fbe2e953-f8fd-4ea1-b0e8-0ed04e68a897","Ban Mae Kha Nua","7/25/2022 11:19",34,"-",187,"17.86616","98.00782",55,65,30,146,141,30,"Ban Huay Muang",15,6,15,NULL,"Ulcer","WASH","zcrm_361303000001881716","บ้านแม่ขานเหนือ",336,"0101000020E61000004D10751F80805840761A69A9BCDD3140"
"ce1df068-96f9-4e0a-8636-476a49d40b77","Ban Mae Khae Noi","7/25/2022 11:19",24,"-",100,"17.91669","97.80789",50,35,91,33,32,91,"Ban Mae Sam Laep",NULL,8,25,12,"Flu ans Ulcer","WASH","zcrm_361303000001881717","บ้านแม่แก้น้อย",3899,"0101000020E6100000FD304278B4735840FB912232ACEA3140"
"f5a43281-a8f2-4b55-a172-33ba5c106b1d","Ban Mae Kheed Noi","7/25/2022 11:19",33,"-",144,"18.52738","98.08076",60,69,40,37,38,40,"Ban Mae Kheed",10,4,NULL,10,"Flu and cancer","WASH","zcrm_361303000001881719","บ้านแม่ขีดน้อย",3142,"0101000020E6100000CCB4FD2B2B85584082902C6002873240"
"1838010e-3648-4dd2-bbde-8cab08f5ce20","Ban Mae Kho Joo","7/25/2022 11:19",54,"-",206,"18.66808","98.01402",25,80,43,63,63,43,"Ban Mae La Ka",NULL,20,4,NULL,"Flu. Cold. Stomach. Flu","WASH","zcrm_361303000001881721","บ้านแม่ขอจู้",1992,"0101000020E61000005B5F24B4E5805840971C774A07AB3240"
"6b8238ef-017e-4592-97f7-58a3aa546216","Ban Mae khor","7/25/2022 11:19",17,"-",76,"18.61241","97.8565",40,29,35,24,23,35,"Ban Mae Ki",5,1,5,35,"Flu","WASH","zcrm_361303000001881722","บ้านแม่ขอ",2971,"0101000020E6100000894160E5D07658404DBED9E6C69C3240"
"077b2468-84aa-4fcb-bd4b-ed773b183215","Ban Mae Ko Pee","7/25/2022 11:19",82,"-",412,"18.70616","98.06654",40,170,42,120,122,42,"Ban Mae Jae",NULL,5,13,NULL,"Flu. Ulcer","WASH","zcrm_361303000001881724","บ้านแม่โกปี",1998,"0101000020E61000000EF8FC30428458404DBED9E6C6B43240"
"e9a5f57c-f675-4ed8-aabf-c58f4bbb47b9","Ban Mae Kwang Nua","7/25/2022 11:19",43,"Average (some paved road. some potholes)",176,"18.3165","98.01632",NULL,51,20,65,60,20,"Ban Huay Phueng",NULL,7,3,3,"3 Skin injection","WASH","zcrm_361303000001881727","บ้านแม่กวงเหนือ",1108,"0101000020E610000053910A630B8158401B2FDD2406513240"
"cd4f2f3b-747b-47ef-93b2-24b166dd3800","Ban Mae Kwang Tai","7/25/2022 11:19",45,"-",168,"18.29993","98.00051",50,95,30,35,38,30,"Ban Huay Phuang",NULL,6,7,30,"Flu and Ulcer","WASH","zcrm_361303000001881728","บ้านแม่กวงใต้",1108,"0101000020E61000008B54185B08805840DB166536C84C3240"
"0fb45805-c1df-464d-ae33-65dba725eaca","Ban Mae Lamong Nua","7/25/2022 11:19",34,"-",218,"18.42977","97.88109",30,79,30,67,72,30,"Ban Mae Su",NULL,12,15,30,"Flu. Ulcer","WASH","zcrm_361303000001881733","บ้านแม่ละมงเหนือ",3613,"0101000020E61000004AB54FC7637858404BCD1E68056E3240"
